Month,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,3482.24,4849.47,5910.35,6351.03,9274.88,10208.2,3722.69,3092.86,4286.53,4641.48,4792.67,3773.9
,3485.86,4855.89,5911.45,6390.13,9308.19,10216.5,3728.81,3096.07,4299.3,4645.23,4807.94,3775.53
,3486.21,4858.74,5927.29,6407.5,9374.48,10313.1,3736.65,3096.09,4330.36,4646.76,4824.45,3797.56
,3493.94,4859.92,5929.32,6408.98,9401.27,10349.9,3746.44,3126.97,4332.1,4649.15,4839.44,3800.21
,3502.13,4869.84,5934.13,6417.01,9464.77,10360.9,3758.21,3165.33,4344.96,4650.23,4862.28,3804.26
,3511.47,4875.42,5965.96,6418.75,9501.08,10430.9,3766.93,3165.38,4363.85,4657.6,4879.67,3810.46
,3528.37,4890.27,5966.14,6467.67,9504.08,10489.1,3777.18,3171.29,4363.94,4658.71,4882.21,3818.5
,3546.28,4892.99,5980.78,6481.8,9523.78,10527.5,3777.66,3179.21,4370.25,4662.9,4915.16,3839.79
,3549.93,4921.07,5988.29,6502.44,9533.22,10564.9,3786.34,3220.93,4375.75,4663.45,4925.44,3847.99
,3551.6,4928.38,5989.71,6503.11,9549.43,10582.5,3787.01,3229.28,4377.09,4665.8,4925.77,3850.03
,3554.25,4958.28,5990.46,6535.06,9590.33,10613.4,3800.56,3232.17,4420.07,4666.68,4944.02,3855.41
,3557.74,4958.38,5997.06,6535.83,9608.89,10615.8,3802.51,3247.56,4423.51,4668.11,4950.17,3855.55
,3561.63,4959.65,6003.17,6564.12,9617.46,10719.3,3815.88,3252.54,4427.68,4670.47,4955.13,3856.89
,3574.63,4984.82,6005.47,6569.64,9745.84,10722,3819.82,3262.73,4450.6,4673.18,4957,3858.57
,3601.97,4989.96,6009.08,6610.87,9785.79,10797.2,3822.18,3263.38,4460.15,4681.12,4979.09,3879.61
,3609.73,5004.83,6010.57,6634.4,9789.72,10848.9,3827.53,3298.16,4461.12,4696.92,4990.02,3905.22
,3641.05,5008.17,6047.71,6656.62,9999.63,10853.9,3827.99,3321.4,4462.43,4709.07,4990.05,3918.71
,3648.83,5013.18,6049.97,6676.19,10001.2,10858.1,3869.22,3324.24,4471.9,4713.4,4995.37,3923.09
,3663.28,5028.23,6062.51,6700.72,10022.3,10859.9,3877.06,3330.04,4481.18,4714.35,5004.4,3943.77
,3665.37,5035.7,6067.21,6720.16,10043,10872.1,3878.25,3332.88,4485.64,4723.8,5005.21,3945.6
,3671.98,5037.82,6069.63,6746.92,10068.6,10874.1,3882.33,3335.12,4488.74,4726.36,5007.15,3952.22
,3719.33,5067.8,6080.02,6762.74,10082.9,10925.6,3912.67,3342.87,4489.17,4731.28,5009.39,3962.64
,3720.84,5097.23,6081.18,6767.76,10091.7,10932.4,3947.02,3368.4,4504.19,4732.66,5026.33,3970.73
,3738,5102.23,6082.88,6771.37,10114,11019.7,3958.53,3375.42,4504.71,4739.18,5039.82,3989.69
,3756.52,5122.22,6103.98,6786.1,10150.4,11029.4,4027.87,3378.24,4507.78,4745.17,5057.43,3997.94
,3779.27,5127.82,6108.75,6788.1,10208.1,11087.2,4029.6,3388.86,4516.39,4755.62,5076.88,4011.24
,3800.52,5129.42,6126.28,6792.89,10245.6,11103.9,4057.94,3403.5,4542.49,4756.98,5097.26,4019.88
,3804,5137.31,6126.31,6795.8,10259.7,11120.3,4058.59,3412.55,4542.75,4767.74,5115.67,4023
,3806.66,5174.97,6129.44,6820.06,10305.5,11147.8,4121.44,3430.18,4556.8,4781.86,5120.72,4023.83
,3813.84,5192.75,6137.94,6824.76,10327.5,11149.1,4133.56,3474.4,4557.36,4785.38,5147.14,4028.87
,3822.68,5194.23,6143.43,6859.65,10453.3,11166.2,4142.37,3496.85,4557.55,4795.35,5161.71,4039.51
,3834.21,5204.66,6148.32,6878.21,10530.6,11269.4,4160.32,3504.66,4564.47,4799.12,5164.2,4067.11
,3839.17,5214.11,6153.26,6878.33,10531.7,11280.7,4161.99,3511.01,4572.64,4799.64,5166.5,4075.3
,3844.56,5215.08,6155.32,6879.74,10539.7,11323.3,4164.48,3515.29,4575.99,4806.35,5175.94,4093.46
,3857.6,5227.12,6160.75,6886.16,10557.4,11361,4210.84,3516.43,4580.83,4810.63,5188.88,4115.11
,3863.88,5245.82,6164.85,6891.73,10571.5,11371.2,4212.8,3541.42,4606.84,4824.71,5198.63,4115.16
,3865.48,5265.98,6166.26,6934.32,10674.6,11404.5,4216.48,3543.75,4616.46,4837.69,5202.53,4117.15
,3872.94,5270.8,6175.37,6971.66,10688.9,11414,4228.24,3564.08,4620.98,4838.97,5211.42,4119.02
,3886.29,5284.58,6179.49,6971.73,10743.8,11484.9,4236.75,3569.59,4624.44,4844.68,5212.18,4123.47
,3907.04,5311.59,6188.97,6977.55,10762.7,11577.9,4253.07,3579.9,4624.99,4847.92,5216.62,4144.3
,3912.56,5315.22,6193.8,6990.94,10776.8,11651,4277.13,3590.93,4629.71,4885.75,5222.82,4145.35
,3915.75,5340.41,6205.2,6995.34,10791.7,11658.4,4295.61,3591.84,4636.34,4889.45,5223.23,4154.33
,3925.6,5344.84,6224.47,7012.73,10800.2,11705.1,4302.9,3606.94,4637.5,4923.48,5233.14,4165.75
,3926.95,5346.87,6245.96,7054.48,10808,11766.8,4311.92,3616.18,4644.29,4935.56,5242.91,4176.54
,3927.25,5369.38,6255.29,7059.63,10814.4,11851.2,4335.17,3620.71,4647.02,4943.5,5243.81,4195
,3952.23,5372.33,6275.53,7071.68,10850.3,11925.7,4346.92,3621,4661.86,4947.08,5255.79,4208.61
,3979.51,5374.46,6276.87,7080.19,10865.2,12012.8,4350.19,3628.1,4672.2,4949.23,5257.96,4210.31
,3987.15,5383.05,6280.77,7083.23,10891.5,12025.5,4350.65,3638.86,4681.22,4958.92,5301.31,4210.53
,3988.81,5384.14,6286.06,7087.12,10896.4,12093.9,4352.21,3642.42,4683.87,4963.64,5303.79,4211.79
,4020.59,5384.21,6292.04,7094.44,10899.3,12127.1,4385.11,3643.66,4686.96,4965.96,5304.44,4228.97
,4021.55,5389.1,6306.58,7110.73,10953.1,12134.3,4408.79,3647.98,4689.23,4969.86,5316.48,4230.77
,4041.06,5401.57,6310.29,7126.67,10973.7,12162,4413.87,3649.46,4689.82,4982.68,5331.19,4232.39
,4049.47,5408.69,6312.31,7129.81,11037.2,12205.7,4424.1,3657.1,4695.08,4984.8,5333.22,4236.58
,4053.65,5410.09,6312.94,7131.06,11090.5,12258.3,4440.08,3667.1,4703.27,4987.09,5342.81,4242.5
,4077.86,5414.79,6319.74,7134.38,11104.1,12359.2,4458.46,3673.85,4703.71,4989.72,5356.13,4247.47
,4086.34,5415.31,6344.14,7150.24,11124.1,12421.9,4468.21,3686.58,4710.22,4990.05,5364.57,4248.62
,4132.99,5420.89,6344.69,7169.98,11125.4,12426.9,4470.41,3693.41,4714.88,4990.99,5388.73,4248.76
,4139.6,5423.27,6346.35,7172.72,11162.5,12451.7,4518.49,3695.65,4717.29,5018.11,5421.12,4252.38
,4157.69,5423.73,6347.17,7174.67,11183.6,12461.8,4529.98,3705.08,4749.93,5022,5435.77,4278.01
,4185.16,5440.33,6349.52,7191.82,11217.8,12466.1,4543.13,3715.3,4754.31,5028.15,5452.99,4280.06
,4197.38,5443.1,6360.93,7201.87,11394.3,12482.5,4543.97,3724.65,4759.4,5029.85,5455.72,4280.86
,4208.81,5459.99,6365.5,7210.32,11410.7,12486.5,4550.83,3726.08,4760.19,5030.19,5486.27,4291.7
,4238.95,5470,6366.6,7223.79,11418.2,12492.2,4587.48,3731.17,4764.21,5030.89,5487.9,4310.48
,4252.64,5474.12,6398.23,7231.73,11489.4,12501.2,4594.14,3736.89,4769.53,5034.54,5489.97,4331.68
,4261.15,5492.26,6402.22,7238.56,11565.5,12517,4597.19,3758.82,4798.96,5039.19,5490.41,4332.9
,4278.37,5499.89,6402.76,7253.76,11571.1,12560.5,4620.6,3763.95,4803.08,5082.82,5505.27,4335.57
,4279.81,5501.2,6426.93,7257.32,11597.2,12587.2,4622.77,3766.58,4807.22,5084.83,5525.62,4356.76
,4286,5502.42,6433.19,7257.66,11617.2,12590,4636.78,3774.9,4807.25,5092.28,5539.37,4359.91
,4302.41,5514.15,6450.06,7303.07,11644.1,12594.7,4638.04,3784.14,4811.73,5101.93,5574.57,4367.82
,4309.65,5544.15,6450.18,7317.03,11694.4,12640.7,4643.05,3809.54,4813,5106.62,5579.48,4406.35
,4325.45,5546.28,6450.82,7333.64,11719.9,12667.2,4644.35,3819.46,4815.36,5110.12,5589.38,4412.39
,4331.67,5551.86,6468.99,7334.97,11732.3,12960.8,4655.92,3825.51,4817.33,5110.46,5591.36,4416.47
,4334.71,5566.31,6482.75,7345.39,11808.6,13017.3,4656.82,3827.45,4818.41,5113.64,5601.11,4420.18
,4337.43,5567.98,6484.85,7346.58,11814.3,13119.1,4675.42,3849.7,4818.79,5114.43,5634.69,4421.63
,4343.09,5578.92,6490.01,7348.82,11892.9,13119.5,4701.5,3849.99,4818.98,5115.03,5640.71,4425.45
,4343.32,5582.85,6492.65,7367.4,11951.4,13158.2,4703.24,3853.41,4830.08,5125.24,5649.38,4429.22
,4361.9,5599.64,6494.03,7378.34,11986.6,13182.8,4710.68,3854.19,4842.27,5128.38,5651.06,4431.37
,4362.96,5617.17,6499.06,7379.78,11992.5,13202.3,4713.87,3857.76,4844.19,5136.26,5659.77,4435.71
,4363.35,5617.81,6509.52,7387.17,12130.2,13203.7,4730.53,3863.22,4847.88,5145.71,5681.68,4464.83
,4375.89,5624.5,6514.3,7387.48,12201.3,13203.7,4742.6,3863.61,4848.79,5156.58,5682.27,4497.62
,4382.12,5643.48,6517,7405.66,12211.9,13218,4746.55,3866.9,4849.07,5157.8,5685.27,4524.16
,4396.5,5644.04,6527.29,7423.68,12213.5,13232.1,4770.87,3870.26,4854.45,5161.46,5698.65,4546.52
,4396.96,5663.72,6531.34,7425.39,12228.4,13247.7,4773.28,3874.82,4863.87,5165.88,5700.53,4550.3
,4408.33,5664.5,6532.19,7429.38,12283.5,13275.5,4776.47,3880.17,4864.83,5174.94,5712.92,4554.62
,4413.97,5669,6535.29,7441.11,12291.2,13334.7,4776.68,3880.44,4865.46,5180.14,5713.59,4562.11
,4420.97,5670.7,6536.19,7441.78,12302.1,13456.4,4795.44,3891.46,4879.77,5180.54,5720.27,4562.11
,4424.04,5675.17,6555.25,7451.62,12322.8,13476.1,4797.2,3901.35,4890.28,5186.63,5728.21,4583.84
,4432.14,5687.29,6556.44,7473,12395.6,13593.5,4799.79,3905.07,4893.65,5195.46,5730.01,4590.62
